vacancy_link,vacancy_title,vacancy_salary,experience,company,location,unique
'https://spb.hh.ru/vacancy/102643227','IOS Developer (iOS разработчик)','от 250000 ₽ на руки','Опыт 3-6 лет','ООО Люди ПРО Групп','Москва','1'
'https://spb.hh.ru/vacancy/101143260','IOS разработчик','от 60000 ₽ на руки','Без опыта','Айрон Вотер Студио','Ростов-на-Дону','1'
'https://spb.hh.ru/vacancy/102782076','IOS-разработчик','220000 – 350000 ₽ на руки','Опыт 3-6 лет','АО Мидлэнд Ритейл Груп','Москва','1'
'https://spb.hh.ru/vacancy/102907772','IOS Developer','до 360000 ₽ на руки','Опыт 1-3 года','Outlines Technologies','Москва','1'
'https://spb.hh.ru/vacancy/102798010','IOS developer','200000 – 300000 ₽ на руки','Опыт 3-6 лет','Enjoypro','Москва','2'
'https://spb.hh.ru/vacancy/102643227','IOS Developer (iOS разработчик)','от 250000 ₽ на руки','Опыт 3-6 лет','ООО Люди ПРО Групп','Москва','1'
'https://spb.hh.ru/vacancy/101143260','IOS разработчик','от 60000 ₽ на руки','Без опыта','Айрон Вотер Студио','Ростов-на-Дону','1'
'https://spb.hh.ru/vacancy/102782076','IOS-разработчик','220000 – 350000 ₽ на руки','Опыт 3-6 лет','АО Мидлэнд Ритейл Груп','Москва','1'
'https://spb.hh.ru/vacancy/102907772','IOS Developer','до 360000 ₽ на руки','Опыт 1-3 года','Outlines Technologies','Москва','1'
'https://spb.hh.ru/vacancy/102798010','IOS developer','200000 – 300000 ₽ на руки','Опыт 3-6 лет','Enjoypro','Москва','2'
"https://spb.hh.ru/vacancy/102681913","IOS разработчик","от 120 000 ₽ на руки","Опыт 1-3 года","Mintrocket","Москва","4"
"https://spb.hh.ru/vacancy/102681914","IOS разработчик","от 120 000 ₽ на руки","Опыт 1-3 года","Mintrocket","Санкт-Петербург","3"
"https://spb.hh.ru/vacancy/100398365","IOS Продакт Разработчик (Удаленно)","2 000 – 3 000 $ на руки","Опыт 1-3 года","LATOKEN","Москва","2"
"https://spb.hh.ru/vacancy/100398362","IOS Продакт Разработчик (Удаленно)","2 000 – 3 000 $ на руки","Опыт 1-3 года","LATOKEN","Ташкент","1"
"https://spb.hh.ru/vacancy/100808657","IOS разработчик","350 000 – 400 000 ₽ до вычета налогов","Опыт 3-6 лет","HR Prime","Москва","1"
"https://spb.hh.ru/vacancy/101919413","IOS developer","200 000 – 300 000 ₽ на руки","Опыт 3-6 лет","Enjoypro","Санкт-Петербург","1"
"https://spb.hh.ru/vacancy/102681916","IOS разработчик","от 120 000 ₽ на руки","Опыт 1-3 года","Mintrocket","Екатеринбург","2"
"https://spb.hh.ru/vacancy/101019344","Junior iOS разработчик","70 000 – 120 000 ₽ на руки","Опыт 1-3 года","FullStack","Новосибирск","1"
"https://spb.hh.ru/vacancy/101613182","Начинающий / junior разработчик Мобильных приложений","30 000 – 60 000 ₽ до вычета налогов",Без опыта","White Tiger Soft","Йошкар-Ола","1"
"https://spb.hh.ru/vacancy/102862560","Разработчик Swift / Flutter / React Native (iOS мобильные приложения)","от 80 000 ₽ на руки","Опыт 1-3 года","Силантьев Олег Игоревич","Москва","2"
"https://spb.hh.ru/vacancy/102521101","Flutter разработчик iOS приложений","180 000 – 250 000 ₽ на руки","Опыт 1-3 года","ИП Абдулаев Эмиль Гокум Оглы","Москва","1"
"https://spb.hh.ru/vacancy/102329925","Senior iOS Developer","250 000 – 310 000 ₽ на руки","Опыт 3-6 лет","Effective","Москва","1"
"https://spb.hh.ru/vacancy/102382603","Middle Frontend Разработчик IOS и Android (Kotlin/Flutter)","200 000 – 500 000 ₽ на руки","Опыт 1-3 года","ИП Ганеева Мария Сергеевна","Москва","1"
"https://spb.hh.ru/vacancy/101363375","IOS Developer (Middle/Senior)","до 300 000 ₽ на руки","Опыт 3-6 лет","Doubletapp","Екатеринбург","1"
